"campaign_id","channel","noisy_cvr","true_cvr"
51,"Facebook",0.0522235888823915,0.05
51,"TV",0.019565733489918,0.02
52,"Facebook",0.0490672802023463,0.05
52,"TV",0.0189141262798253,0.02
53,"Facebook",0.0498354531610208,0.05
53,"TV",0.0178509919668789,0.02
54,"Facebook",0.0654693734522564,0.05
54,"TV",0.020778573025155,0.02
55,"Facebook",0.056973618346391,0.05
55,"TV",0.0210171590909384,0.02
56,"Facebook",0.0463960832137056,0.05
56,"TV",0.00678762901402162,0.02
57,"Facebook",0.053071211590669,0.05
57,"TV",0.0292713575335201,0.02
58,"Facebook",0.0632587547182579,0.05
58,"TV",0.0155889146127248,0.02
59,"Facebook",0.0646084147019866,0.05
59,"TV",0.0187319023012155,0.02
60,"Facebook",0.0581762454702705,0.05
60,"TV",0.0128452531068546,0.02
61,"Facebook",0.0522080078006765,0.05
61,"TV",0.0206520717210529,0.02
62,"Facebook",0.046686453934546,0.05
62,"TV",0.0174120694618895,0.02
63,"Facebook",0.0490125753632375,0.05
63,"TV",0.0203711208049961,0.02
64,"Facebook",0.0426406949583541,0.05
64,"TV",0.026779864198037,0.02
65,"Facebook",0.056345690415277,0.05
65,"TV",0.0218715184335673,0.02
66,"Facebook",0.0506395062335872,0.05
66,"TV",0.0217737740727652,0.02
67,"Facebook",0.0455653338015175,0.05
67,"TV",0.0103129731710938,0.02
68,"Facebook",0.0543478269337428,0.05
68,"TV",0.0259766898857871,0.02
69,"Facebook",0.0493838278524378,0.05
69,"TV",0.00409381202257963,0.02
70,"Facebook",0.0686755561201814,0.05
70,"TV",0.0228343850647851,0.02
71,"Facebook",0.053551617042184,0.05
71,"TV",0.012712982185195,0.02
72,"Facebook",0.060142999888444,0.05
72,"TV",0.0209515186147652,0.02
73,"Facebook",0.0462437062652393,0.05
73,"TV",0.0191727743100724,0.02
74,"Facebook",0.0451608815201916,0.05
74,"TV",0.0252493554155966,0.02
75,"Facebook",0.0620224898905194,0.05
75,"TV",0.0237226125182421,0.02
76,"Facebook",0.0537954226148109,0.05
76,"TV",0.0336315736576413,0.02
77,"Facebook",0.0589406603001049,0.05
77,"TV",0.0120080826091626,0.02
78,"Facebook",0.0373983451284654,0.05
78,"TV",0.02549861872775,0.02
79,"Facebook",0.0423714288911266,0.05
79,"TV",0.0137159891611148,0.02
80,"Facebook",0.0509516229675731,0.05
80,"TV",0.00345182007146823,0.02
81,"Facebook",0.040890819531561,0.05
81,"TV",0.0145647327799404,0.02
82,"Facebook",0.0427506568433059,0.05
82,"TV",0.0262553562376998,0.02
83,"Facebook",0.0716094208909237,0.05
83,"TV",0.0213096178746896,0.02
84,"Facebook",0.0532131117694726,0.05
84,"TV",0.0218635103327964,0.02
85,"Facebook",0.0639406842014911,0.05
85,"TV",0.0223948187090977,0.02
86,"Facebook",0.0463967301896861,0.05
86,"TV",0.019926939286958,0.02
87,"Facebook",0.0609120069676571,0.05
87,"TV",0.0103504121781831,0.02
88,"Facebook",0.0649076090478224,0.05
88,"TV",0.0196742089830644,0.02
89,"Facebook",0.0526779397193703,0.05
89,"TV",0.00847987221109526,0.02
90,"Facebook",0.0613963744536785,0.05
90,"TV",0.0120390492086817,0.02
91,"Facebook",0.0473010988250732,0.05
91,"TV",0.0256456225236202,0.02
92,"Facebook",0.0379261807973417,0.05
92,"TV",0.0205772842463831,0.02
93,"Facebook",0.048937766181441,0.05
93,"TV",0.0272053118704725,0.02
94,"Facebook",0.0455269306598879,0.05
94,"TV",0.0269604193225545,0.02
95,"Facebook",0.0611021399452485,0.05
95,"TV",0.00580062448798601,0.02
96,"Facebook",0.0512364833313366,0.05
96,"TV",0.0263862687762009,0.02
97,"Facebook",0.0487036122519621,0.05
97,"TV",0.0248914932446179,0.02
98,"Facebook",0.0486129657864504,0.05
98,"TV",0.0136452206124702,0.02
99,"Facebook",0.0492554334572574,0.05
99,"TV",0.0336354018777387,0.02
100,"Facebook",0.0470152226700017,0.05
100,"TV",0.0144921589495905,0.02
101,"Facebook",0.0484627550058259,0.05
101,"TV",0.0139119875224378,0.02
102,"Facebook",0.0378506410753563,0.05
102,"TV",0.0240644345674475,0.02
103,"Facebook",0.0554107078790703,0.05
103,"TV",0.0173810307125068,0.02
104,"Facebook",0.0488521395294589,0.05
104,"TV",0.0293850360587124,0.02
105,"Facebook",0.0481490720084583,0.05
105,"TV",0.0232347409924576,0.02
106,"Facebook",0.0513931451936652,0.05
106,"TV",0.0328795551355698,0.02
107,"Facebook",0.0535276911850358,0.05
107,"TV",0.0133254630041154,0.02
108,"Facebook",0.0325108915021501,0.05
108,"TV",0.0195468434812171,0.02
109,"Facebook",0.0436577255933421,0.05
109,"TV",0.0201892149552166,0.02
110,"Facebook",0.0638517691929796,0.05
110,"TV",0.0216540413657179,0.02
111,"Facebook",0.0536169781651167,0.05
111,"TV",0.00585958083058472,0.02
112,"Facebook",0.0533251649127117,0.05
112,"TV",0.0162919447920834,0.02
113,"Facebook",0.0502509687680805,0.05
113,"TV",0.0167526097607355,0.02
114,"Facebook",0.0532393494269112,0.05
114,"TV",0.0102547307562651,0.02
115,"Facebook",0.0550759784178913,0.05
115,"TV",0.0264120279386114,0.02
116,"Facebook",0.0437699878474118,0.05
116,"TV",0.0196024998638833,0.02
117,"Facebook",0.0489468392240632,0.05
117,"TV",0.0170530827938695,0.02
118,"Facebook",0.0620521144430598,0.05
118,"TV",0.014963163125392,0.02
119,"Facebook",0.0456147896758768,0.05
119,"TV",0.00241432072783591,0.02
120,"Facebook",0.0364516709581043,0.05
120,"TV",0.0227852734280884,0.02
121,"Facebook",0.0456799978810164,0.05
121,"TV",0.0171543818036222,0.02
122,"Facebook",0.0521220911928154,0.05
122,"TV",0.0156131327165192,0.02
123,"Facebook",0.0517794962393721,0.05
123,"TV",0.0124810695151772,0.02
124,"Facebook",0.0569871281100914,0.05
124,"TV",0.0254893392998052,0.02
125,"Facebook",0.0593647742979851,0.05
125,"TV",0.0217169505134043,0.02
126,"Facebook",0.0555708032678173,0.05
126,"TV",0.0267582361251873,0.02
127,"Facebook",0.0331707539545498,0.05
127,"TV",0.0259925225693656,0.02
128,"Facebook",0.0569589754194692,0.05
128,"TV",0.0119771733850435,0.02
129,"Facebook",0.0381220538892576,0.05
129,"TV",0.000291972249233191,0.02
130,"Facebook",0.0471184975367505,0.05
130,"TV",0.0181354806337816,0.02
131,"Facebook",0.0509113037125504,0.05
131,"TV",0.018880430602952,0.02
132,"Facebook",0.0700194448993904,0.05
132,"TV",0.0252979811180897,0.02
133,"Facebook",0.0502526423596686,0.05
133,"TV",0.0240233523480138,0.02
134,"Facebook",0.0572925301839151,0.05
134,"TV",0.0270706890258085,0.02
135,"Facebook",0.0584215107899141,0.05
135,"TV",0.0273653826802656,0.02
136,"Facebook",0.0535332230750688,0.05
136,"TV",0.0253964111167435,0.02
137,"Facebook",0.0556794249399035,0.05
137,"TV",0.023534933701942,0.02
138,"Facebook",0.0468120538308762,0.05
138,"TV",0.0256428310510449,0.02
139,"Facebook",0.0485856770730684,0.05
139,"TV",0.0219906702422426,0.02
140,"Facebook",0.0475155971606094,0.05
140,"TV",0.0154217833614321,0.02
141,"Facebook",0.036076576912002,0.05
141,"TV",0.0122609136794911,0.02
142,"Facebook",0.0441724968712019,0.05
142,"TV",0.021092173628694,0.02
143,"Facebook",0.0415483308297617,0.05
143,"TV",0.0275295134292784,0.02
144,"Facebook",0.0479065840511408,0.05
144,"TV",0.0215742253436436,0.02
145,"Facebook",0.0380673163559275,0.05
145,"TV",0.0120832119115643,0.02
146,"Facebook",0.0511745905794404,0.05
146,"TV",0.0218381919058442,0.02
147,"Facebook",0.0527485074448803,0.05
147,"TV",0.0282992582491395,0.02
148,"Facebook",0.0557626206006913,0.05
148,"TV",0.0219535286729124,0.02
149,"Facebook",0.0535706551897867,0.05
149,"TV",0.0182635150786401,0.02
150,"Facebook",0.0359849290167138,0.05
150,"TV",0.0281427630173623,0.02
151,"Facebook",0.0641600989220524,0.05
151,"TV",0.017145682861761,0.02
152,"Facebook",0.049532606140194,0.05
152,"TV",0.0135540190445334,0.02
153,"Facebook",0.0473085925866347,0.05
153,"TV",0.0321012228527356,0.02
154,"Facebook",0.0511326120316709,0.05
154,"TV",0.0265331627592905,0.02
155,"Facebook",0.0366509486060156,0.05
155,"TV",0.0141873266128151,0.02
156,"Facebook",0.0494205941126318,0.05
156,"TV",0.0208868964789291,0.02
157,"Facebook",0.0550326680137413,0.05
157,"TV",0.0198568291022472,0.02
158,"Facebook",0.046881324257652,0.05
158,"TV",0.013090289338186,0.02
159,"Facebook",0.0597230280407827,0.05
159,"TV",0.00849305509128542,0.02
160,"Facebook",0.0477147192087536,0.05
160,"TV",0.0266020970693753,0.02
161,"Facebook",0.0408771555100169,0.05
161,"TV",0.00993625948748033,0.02
162,"Facebook",0.0471089005776281,0.05
162,"TV",0.0209420999523512,0.02
163,"Facebook",0.0479260946044921,0.05
163,"TV",0.0155380323491983,0.02
164,"Facebook",0.0484454271123656,0.05
164,"TV",0.00748181018693282,0.02
165,"Facebook",0.051424745290414,0.05
165,"TV",0.00790405571186821,0.02
166,"Facebook",0.049390335260215,0.05
166,"TV",0.0150939236032303,0.02
167,"Facebook",0.0423788818626016,0.05
167,"TV",0.0101823669748937,0.02
168,"Facebook",0.0572869401721192,0.05
168,"TV",0.014697157401686,0.02
169,"Facebook",0.0492697582185895,0.05
169,"TV",0.0302299940804179,0.02
170,"Facebook",0.0393841106298018,0.05
170,"TV",0.0186069062566989,0.02
171,"Facebook",0.0412409433663693,0.05
171,"TV",0.0216732195501831,0.02
172,"Facebook",0.0659336737597499,0.05
172,"TV",0.0299501135824811,0.02
173,"Facebook",0.047675014254871,0.05
173,"TV",0.0156650004419636,0.02
174,"Facebook",0.0547835016400758,0.05
174,"TV",0.014324385038467,0.02
175,"Facebook",0.037220715228305,0.05
175,"TV",0.0344005176801835,0.02
176,"Facebook",0.046726602590572,0.05
176,"TV",0.0382780715920225,0.02
177,"Facebook",0.0628146581021185,0.05
177,"TV",0.0236018795627611,0.02
178,"Facebook",0.0450964669753123,0.05
178,"TV",0.0214039345313785,0.02
179,"Facebook",0.0440536576085815,0.05
179,"TV",0.0152148510600224,0.02
180,"Facebook",0.0419988979245813,0.05
180,"TV",0.0220409252558181,0.02
181,"Facebook",0.0459448269651338,0.05
181,"TV",0.0258493278656479,0.02
182,"Facebook",0.0541660321771993,0.05
182,"TV",0.0282214027016211,0.02
183,"Facebook",0.0517593134733904,0.05
183,"TV",0.0252391704561371,0.02
184,"Facebook",0.0437760369473708,0.05
184,"TV",0.0246721393423699,0.02
185,"Facebook",0.054937677621886,0.05
185,"TV",0.0102250112669879,0.02
186,"Facebook",0.0481400752979587,0.05
186,"TV",0.00289241025863032,0.02
187,"Facebook",0.0514426739457046,0.05
187,"TV",0.0266789929287414,0.02
188,"Facebook",0.0413412113523813,0.05
188,"TV",0.0285840927098614,0.02
189,"Facebook",0.0630842617626777,0.05
189,"TV",0.0220247789563395,0.02
190,"Facebook",0.0573244670950324,0.05
190,"TV",0.0197451487164466,0.02
191,"Facebook",0.0312140477517825,0.05
191,"TV",0.0113505568368893,0.02
192,"Facebook",0.0435562232279059,0.05
192,"TV",0.02452934932877,0.02
193,"Facebook",0.0451990518526044,0.05
193,"TV",0.0175016651387315,0.02
194,"Facebook",0.0592811939287457,0.05
194,"TV",0.0211199974923261,0.02
195,"Facebook",0.0538948110597039,0.05
195,"TV",0.0177659223322899,0.02
196,"Facebook",0.0428535603013738,0.05
196,"TV",0.0147126277729996,0.02
197,"Facebook",0.0467448943702533,0.05
197,"TV",0.0198438901647826,0.02
198,"Facebook",0.0447635247262231,0.05
198,"TV",0.0295266967669511,0.02
199,"Facebook",0.0650115294597344,0.05
199,"TV",0.0351049198260208,0.02
200,"Facebook",0.034316112595847,0.05
200,"TV",0.020862687049238,0.02
201,"Facebook",0.0391021170825333,0.05
201,"TV",0.0119996794992233,0.02
202,"Facebook",0.0579611206177042,0.05
202,"TV",0.0147105199127087,0.02
203,"Facebook",0.0439276108028473,0.05
203,"TV",0.00530866692242499,0.02
204,"Facebook",0.0548525575654578,0.05
204,"TV",0.0149606195279237,0.02
205,"Facebook",0.0604510423321068,0.05
205,"TV",0.0131606762625729,0.02
206,"Facebook",0.063671371604499,0.05
206,"TV",0.0251050497220362,0.02
207,"Facebook",0.0444610708572034,0.05
207,"TV",0.0133175684071369,0.02
208,"Facebook",0.0411953563410107,0.05
208,"TV",0.0162614355801583,0.02
209,"Facebook",0.046723723951139,0.05
209,"TV",0.032783811802154,0.02
210,"Facebook",0.0501429471576323,0.05
210,"TV",0.0201692316591879,0.02
211,"Facebook",0.0560837191928971,0.05
211,"TV",0.00888037594372354,0.02
212,"Facebook",0.055339875063816,0.05
212,"TV",0.0447796843245391,0.02
213,"Facebook",0.0509012053268022,0.05
213,"TV",0.0221599472081497,0.02
214,"Facebook",0.0450567088815704,0.05
214,"TV",0.00729895607268953,0.02
215,"Facebook",0.0475455516816161,0.05
215,"TV",0.0108191711131658,0.02
216,"Facebook",0.0458224305480874,0.05
216,"TV",0.0137781768498453,0.02
217,"Facebook",0.0582501465261538,0.05
217,"TV",0.0105524183268561,0.02
218,"Facebook",0.0488488321159701,0.05
218,"TV",0.0174674712471478,0.02
219,"Facebook",0.0564131269627864,0.05
219,"TV",0.0146955428724042,0.02
220,"Facebook",0.0439457295944962,0.05
220,"TV",0.0246853283457522,0.02
221,"Facebook",0.0400227681054356,0.05
221,"TV",0.0210032496476602,0.02
222,"Facebook",0.0416312256483004,0.05
222,"TV",0.0134453385912454,0.02
223,"Facebook",0.0424154801288442,0.05
223,"TV",0.0274945560349726,0.02
224,"Facebook",0.0460043680485085,0.05
224,"TV",0.0316189000968208,0.02
225,"Facebook",0.0439232002757012,0.05
225,"TV",0.0226309129116263,0.02
226,"Facebook",0.0528374568501101,0.05
226,"TV",0.0208921474106683,0.02
227,"Facebook",0.0497196771623886,0.05
227,"TV",0.0141311546880259,0.02
228,"Facebook",0.0612023480715325,0.05
228,"TV",0.018670415386432,0.02
229,"Facebook",0.0469007829000088,0.05
229,"TV",0.027727106392529,0.02
230,"Facebook",0.0457032484769529,0.05
230,"TV",0.0304260514896276,0.02
231,"Facebook",0.0532778967998195,0.05
231,"TV",0.0136806290040451,0.02
232,"Facebook",0.0505617719831676,0.05
232,"TV",0.0141335297199766,0.02
233,"Facebook",0.0489234148885346,0.05
233,"TV",0.0165865107929875,0.02
234,"Facebook",0.0620321012973485,0.05
234,"TV",0.0308057049906399,0.02
235,"Facebook",0.0557475529552219,0.05
235,"TV",0.0194101434889793,0.02
236,"Facebook",0.0405473683491319,0.05
236,"TV",0.0107396001455072,0.02
237,"Facebook",0.0529828249464253,0.05
237,"TV",0.022187978749911,0.02
238,"Facebook",0.0424531779236624,0.05
238,"TV",0.0024160231542751,0.02
239,"Facebook",0.0404080893610159,0.05
239,"TV",0.0243395720970254,0.02
240,"Facebook",0.0504303657516958,0.05
240,"TV",0.00921975407778413,0.02
241,"Facebook",0.0515101114199558,0.05
241,"TV",0.00715296134616228,0.02
242,"Facebook",0.0421134923511072,0.05
242,"TV",0.0283018937528822,0.02
243,"Facebook",0.0467341751199227,0.05
243,"TV",0.0293520693693039,0.02
244,"Facebook",0.0474661682669834,0.05
244,"TV",0.00231199286913175,0.02
245,"Facebook",0.0549147258790283,0.05
245,"TV",0.0203630273623065,0.02
246,"Facebook",0.0433856149920933,0.05
246,"TV",0.0212238423460609,0.02
247,"Facebook",0.0522844097344556,0.05
247,"TV",0.0186675776924164,0.02
248,"Facebook",0.0557391043837461,0.05
248,"TV",0.0250610574689189,0.02
249,"Facebook",0.0493897725633495,0.05
249,"TV",0.0189071198159846,0.02
250,"Facebook",0.0403146613850116,0.05
250,"TV",0.0205772452885005,0.02
251,"Facebook",0.0529435158776279,0.05
251,"TV",0.0200105417412078,0.02
252,"Facebook",0.0517040648949979,0.05
252,"TV",0.00633502597506782,0.02
253,"Facebook",0.0506205662331178,0.05
253,"TV",0.0236702701999504,0.02
254,"Facebook",0.0524104425495888,0.05
254,"TV",0.0215850573884817,0.02
255,"Facebook",0.0578389833595803,0.05
255,"TV",0.0148003351737791,0.02
256,"Facebook",0.0486752113605506,0.05
256,"TV",0.0193127397523723,0.02
257,"Facebook",0.0475977704299344,0.05
257,"TV",0.0289372823141877,0.02
258,"Facebook",0.0513626322839696,0.05
258,"TV",0.0233714336160037,0.02
259,"Facebook",0.0612275896821335,0.05
259,"TV",0.0231648839168941,0.02
260,"Facebook",0.0481924424912722,0.05
260,"TV",0.00703765234782821,0.02
